English,Portuguese-BR
reduce,reduzir
region,região
relationship,relação
religious,religioso
remain,permanecer
remember,lembrar
remove,remover
report,relatório
report,relatório
represent,representar
Republican,Republicano
require,exigir
research,pesquisar
resource,recurso
respond,responder
response,resposta
rest,descanso
result,resultado
return,Retorna
reveal,revelar
right,certo
right,certo
right,certo
rise,subir
risk,risco
river,rio
road,estrada
rock,Rocha
role,Função
room,quarto
rule,regra
same,mesmo
save,Salve
scene,cena
school,escola
science,Ciência
season,estação
seat,assento
second,segundo
second,segundo
section,seção
security,segurança
seek,procurar
seem,parecer
sell,vender
send,mandar
sense,senso
series,Series
serious,sério
serve,servir
service,serviço
seven,Sete
several,de várias
shake,sacudir
share,compartilhar
shoot,atirar
short,curto
should,deve
show,mostrar
show,mostrar
side,lado
sign,sinal
sign,sinal
significant,significativo
similar,semelhante
simple,simples
simply,simplesmente
since,desde
since,desde
single,solteiro
sister,irmã
site,local
situation,situação
size,Tamanho
skill,habilidade
small,pequena
social,social
society,sociedade
some,algum
someone,alguém
something,algo
sometimes,as vezes
song,música
soon,em breve
sort,ordenar
sound,som
sound,som
source,fonte
south,sul
space,espaço
speak,falar
special,especial
specific,específico
spend,gasta
sport,esporte
spring,primavera
staff,funcionários
stage,palco
stand,ficar
standard,padrão
star,Estrela
start,começar
state,Estado
state,Estado
statement,declaração
station,estação
stay,fique
step,degrau
still,ainda
stock,estoque
stop,Pare
store,armazenar
story,história
strategy,estratégia
street,rua
strong,Forte
structure,estrutura
student,aluna
study,estudar
study,estudar
style,estilo
subject,sujeito
success,sucesso
such,tal
such,tal
suddenly,De repente
suggest,sugerir
summer,verão
support,"Apoio, suporte"
support,"Apoio, suporte"
sure,claro
system,sistema
table,tabela
take,leva
talk,conversa
talk,conversa
teach,Ensinar
teacher,professora
team,equipe
technology,tecnologia
television,televisão
tell,dizer
term,prazo
test,teste
than,do que
than,do que
thank,obrigado
thanks,obrigado
that,este
that,este
that,este
their,seus
them,eles
themselves,eles mesmos
then,então
theory,teoria
there,lá
there,lá
these,esses
they,elas
thing,coisa
think,acho
third,terceiro
this,isto
those,Essa
though,no entanto
thought,pensamento
three,três
through,Através dos
throughout,por todo
throw,lançar
thus,portanto
time,Tempo
today,hoje
together,juntos
tonight,esta noite
toward,na direção
town,Cidade
trade,troca
traditional,tradicional
training,Treinamento
treat,tratar
treatment,tratamento
tree,árvore
trial,tentativas
trip,viagem
trouble,problema
truth,verdade
turn,virar
type,modelo
under,debaixo
understand,Compreendo
union,União
unit,unidade
university,universidade
until,até
upon,sobre
usually,usualmente
value,valor
various,vários
very,muito
view,Visão
visit,Visita
voice,voz
wait,esperar
walk,andar
wall,muro
want,querer
watch,ver
water,agua
weapon,arma
wear,vestem
week,semana
weight,peso
well,Nós vamos
well,Nós vamos
west,Oeste
what,o que
whatever,qualquer que seja
when,quando
when,quando
where,Onde
where,Onde
whether,se
which,que
while,enquanto
white,branco
whole,todo
whose,de quem
wife,esposa
will,vai
window,janela
with,com
within,dentro de
without,sem
woman,mulher
wonder,maravilha
word,palavra
work,trabalhar
worker,trabalhador
world,mundo
worry,preocupar
would,gostaria
write,Escreva
wrong,errado
year,ano
young,jovem
your,sua
yourself,você mesma
